City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,arvayheer,46.2639,102.775,17.19,12,52,11.12,MN,1682934336
201,sosnovo-ozerskoye,52.5249,111.5418,10.96,48,99,5.03,RU,1682934336
202,selfoss,63.9331,-20.9971,2.11,47,100,4.12,IS,1682934337
203,tarakan,3.3,117.6333,32.72,62,20,1.54,ID,1682934337
204,college,64.8569,-147.8028,3.1,77,40,3.6,US,1682934338
205,mulayjah,27.271,48.4242,34.56,15,0,7.47,SA,1682934339
206,susuman,62.7833,148.1667,-4.84,85,100,1.47,RU,1682934339
207,thompson,55.7435,-97.8558,-2.91,86,20,1.03,CA,1682934340
208,tionk essil,12.7856,-16.5217,25.03,50,4,3.91,SN,1682934341
209,sao vicente,-23.9631,-46.3919,24.1,26,0,1.47,BR,1682934341
210,weining,26.85,104.2333,19.46,53,100,0.86,CN,1682934342
211,oodweyne,9.4092,45.064,26.96,52,100,3.37,SO,1682934343
212,quesnel,52.9999,-122.5029,10.28,93,100,2.57,CA,1682934343
213,boma,7.0805,-2.1697,30.97,52,70,1.46,GH,1682934344
214,minbu,20.1833,94.8833,42.22,15,17,2.17,MM,1682934344
215,takestan,36.0696,49.6959,20.07,13,100,9.51,IR,1682934345
216,kingston,17.997,-76.7936,26.53,83,20,3.09,JM,1682934321
217,katsuura,35.1333,140.3,16.29,71,79,3.4,JP,1682934346
218,isangel,-19.55,169.2667,25.68,85,100,4.35,VU,1682934347
219,yuzhno-kurilsk,44.0306,145.8556,6.15,89,92,4.15,RU,1682934347
220,lompoc,34.6391,-120.4579,11.55,89,40,5.66,US,1682934348
221,rupert,42.6191,-113.6772,12.32,54,0,1.54,US,1682934351
222,umluj,25.0213,37.2685,26.24,41,0,5.62,SA,1682934351
223,naxos,37.1056,25.3764,20.77,72,40,2.57,GR,1682934352
224,pangody,65.85,74.4859,-2.42,84,3,4.55,RU,1682934352
225,aoulef,26.9667,1.0833,37.79,7,3,3.05,DZ,1682934353
226,quzhou,28.9594,118.8686,20.94,61,0,2.57,CN,1682934354
227,yamada,39.4667,141.95,12.51,70,19,4.49,JP,1682934354
228,pacific grove,36.6177,-121.9166,11.68,90,100,3.13,US,1682934237
229,eno,62.8051,30.1542,8.16,61,99,2.28,FI,1682934355
230,ihosy,-22.4,46.1167,27.12,35,0,1.53,MG,1682934356
231,porto novo,6.4965,2.6036,29.9,64,90,3.36,BJ,1682934356
232,sikasso,10.9167,-7.0,34.78,31,28,1.86,ML,1682934357
233,magadan,59.5667,150.8,0.85,84,100,2.23,RU,1682934358
234,nizhnesortymskiy,62.4397,71.7603,0.31,87,22,5.3,RU,1682934358
235,inverell,-29.7833,151.1167,8.95,75,78,0.89,AU,1682934359
236,mount gambier,-37.8333,140.7667,11.99,82,88,2.23,AU,1682934360
237,nakur,29.9167,77.3,19.31,81,100,4.95,IN,1682934361
238,richards bay,-28.783,32.0377,27.04,50,5,5.18,ZA,1682934361
239,turkmenbasy,40.0222,52.9552,24.43,41,0,6.17,TM,1682934362
240,acarau,-2.8856,-40.12,24.58,90,100,3.42,BR,1682934362
241,longyearbyen,78.2186,15.6401,-12.09,48,0,4.12,SJ,1682934363
242,wajir,1.7471,40.0573,30.98,55,40,3.09,KE,1682934364
243,cidreira,-30.1811,-50.2056,18.63,75,91,3.38,BR,1682934365
244,sungai penuh,-2.0833,101.3833,21.81,94,99,0.62,ID,1682934365
245,novyy urengoy,66.0833,76.6333,-4.82,79,1,5.09,RU,1682934366
246,soio,-6.1349,12.3689,28.1,76,83,0.55,AO,1682934366
247,punta arenas,-53.15,-70.9167,2.06,69,40,10.8,CL,1682934367
248,hakui,36.8833,136.7833,15.08,76,50,4.06,JP,1682934368
249,colonia,50.9333,6.95,18.87,48,100,0.89,DE,1682934349
250,remire-montjoly,4.9167,-52.2667,26.02,89,75,1.03,GF,1682934369
251,nadym,65.5333,72.5167,-0.63,87,27,3.95,RU,1682934369
252,nogliki,51.8333,143.1667,-1.44,88,84,4.82,RU,1682934370
253,kushiro,42.975,144.3747,11.53,62,40,3.09,JP,1682934371
254,lagoa,39.05,-27.9833,15.37,72,24,8.02,PT,1682934371
255,dunedin,-45.8742,170.5036,15.45,64,100,4.02,NZ,1682934263
256,bertioga,-23.8544,-46.1386,23.9,85,0,1.78,BR,1682934373
257,corner brook,48.9667,-57.9484,-3.91,88,24,1.56,CA,1682934373
